entrez	ensgene	symbol	chr	start	end	strand	biotype	description
7105	ENSG00000000003	TSPAN6	X	99883667	99894988	-1	protein_coding	tetraspanin 6 [Source:HGNC Symbol;Acc:11858]
64102	ENSG00000000005	TNMD	X	99839799	99854882	1	protein_coding	tenomodulin [Source:HGNC Symbol;Acc:17757]
8813	ENSG00000000419	DPM1	20	49551404	49575092	-1	protein_coding	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]
57147	ENSG00000000457	SCYL3	1	169818772	169863408	-1	protein_coding	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]
55732	ENSG00000000460	C1orf112	1	169631245	169823221	1	protein_coding	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]
2268	ENSG00000000938	FGR	1	27938575	27961788	-1	protein_coding	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]
3075	ENSG00000000971	CFH	1	196621008	196716634	1	protein_coding	complement factor H [Source:HGNC Symbol;Acc:4883]
2519	ENSG00000001036	FUCA2	6	143815948	143832827	-1	protein_coding	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]
2729	ENSG00000001084	GCLC	6	53362139	53481768	-1	protein_coding	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]
4800	ENSG00000001167	NFYA	6	41040684	41067715	1	protein_coding	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]
90529	ENSG00000001460	STPG1	1	24683489	24743424	-1	protein_coding	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]
57185	ENSG00000001461	NIPAL3	1	24742284	24799466	1	protein_coding	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]
81887	ENSG00000001497	LAS1L	X	64732462	64754655	-1	protein_coding	LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:25726]
22875	ENSG00000001561	ENPP4	6	46097730	46114436	1	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]
6405	ENSG00000001617	SEMA3F	3	50192478	50226508	1	protein_coding	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]
1080	ENSG00000001626	CFTR	7	117105838	117356025	1	protein_coding	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]
54467	ENSG00000001629	ANKIB1	7	91875548	92030698	1	protein_coding	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]
1595	ENSG00000001630	CYP51A1	7	91741465	91772266	-1	protein_coding	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]
889	ENSG00000001631	KRIT1	7	91828283	91875480	-1	protein_coding	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]
5893	ENSG00000002016	RAD52	12	1021243	1099219	-1	protein_coding	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]
84176	ENSG00000002079	MYH16	7	98836417	98908753	1	pseudogene	myosin, heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:31038]
572	ENSG00000002330	BAD	11	64037302	64052176	-1	protein_coding	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]
51056	ENSG00000002549	LAP3	4	17578815	17609595	1	protein_coding	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]
4267	ENSG00000002586	CD99	X	2609220	2659350	1	protein_coding	CD99 molecule [Source:HGNC Symbol;Acc:7082]
9957	ENSG00000002587	HS3ST1	4	11394774	11431389	-1	protein_coding	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]
26	ENSG00000002726	AOC1	7	150521715	150558592	1	protein_coding	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]
51384	ENSG00000002745	WNT16	7	120965421	120981158	1	protein_coding	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]
23072	ENSG00000002746	HECW1	7	43152198	43605600	1	protein_coding	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]
8379	ENSG00000002822	MAD1L1	7	1855429	2272878	-1	protein_coding	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]
3927	ENSG00000002834	LASP1	17	37026112	37078023	1	protein_coding	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]
29916	ENSG00000002919	SNX11	17	46180719	46200436	1	protein_coding	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]
55365	ENSG00000002933	TMEM176A	7	150497491	150502208	1	protein_coding	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]
4074	ENSG00000003056	M6PR	12	9092959	9102551	-1	protein_coding	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]
90293	ENSG00000003096	KLHL13	X	117031776	117251303	-1	protein_coding	kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]
56603	ENSG00000003137	CYP26B1	2	72356367	72375167	-1	protein_coding	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]
3382	ENSG00000003147	ICA1	7	8152814	8302317	-1	protein_coding	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]
